N	depth	rgb	gt
0	1311878194.329554	1311878194.274451	1311878194.330800
1	1311878194.359236	1311878194.306158	1311878194.360300
2	1311878194.396290	1311878194.338155	1311878194.396800
3	1311878194.427630	1311878194.374270	1311878194.426900
4	1311878194.459673	1311878194.406574	1311878194.460200
5	1311878194.498786	1311878194.439904	1311878194.500100
6	1311878194.527933	1311878194.474341	1311878194.526900
7	1311878194.558884	1311878194.506276	1311878194.560200
8	1311878194.597895	1311878194.538257	1311878194.596800
9	1311878194.626949	1311878194.574203	1311878194.626900
10	1311878194.660629	1311878194.606201	1311878194.660300
11	1311878194.699673	1311878194.638184	1311878194.700000
12	1311878194.727659	1311878194.674335	1311878194.727100
13	1311878194.759065	1311878194.706671	1311878194.760300
14	1311878194.795788	1311878194.738262	1311878194.796900
15	1311878194.827761	1311878194.774175	1311878194.827000
16	1311878194.860156	1311878194.806388	1311878194.860000
17	1311878194.894979	1311878194.838267	1311878194.893400
18	1311878194.930022	1311878194.874122	1311878194.930100
19	1311878194.959099	1311878194.906162	1311878194.960300
20	1311878194.996534	1311878194.938235	1311878194.996800
21	1311878195.027534	1311878194.974214	1311878195.026900
22	1311878195.061778	1311878195.006349	1311878195.063400
23	1311878195.094824	1311878195.038170	1311878195.093500
24	1311878195.126832	1311878195.074121	1311878195.126700
25	1311878195.159231	1311878195.106255	1311878195.160200
26	1311878195.196629	1311878195.138441	1311878195.196900
27	1311878195.227154	1311878195.174269	1311878195.227000
28	1311878195.259620	1311878195.206448	1311878195.260200
29	1311878195.294553	1311878195.238271	1311878195.293400
30	1311878195.326844	1311878195.274164	1311878195.326700
31	1311878195.359161	1311878195.306470	1311878195.360100
32	1311878195.394867	1311878195.338213	1311878195.393500
33	1311878195.428052	1311878195.374269	1311878195.426800
34	1311878195.459888	1311878195.406029	1311878195.459900
35	1311878195.496459	1311878195.438050	1311878195.496800
36	1311878195.529627	1311878195.474232	1311878195.530300
37	1311878195.567770	1311878195.506356	1311878195.566800
38	1311878195.594919	1311878195.538378	1311878195.593600
39	1311878195.626723	1311878195.574459	1311878195.626800
40	1311878195.664376	1311878195.606206	1311878195.663400
41	1311878195.694746	1311878195.638287	1311878195.693400
42	1311878195.727431	1311878195.674186	1311878195.726500
43	1311878195.763173	1311878195.706186	1311878195.763400
44	1311878195.796096	1311878195.738201	1311878195.796900
45	1311878195.828782	1311878195.774488	1311878195.830200
46	1311878195.863694	1311878195.806204	1311878195.863500
47	1311878195.894665	1311878195.838010	1311878195.893300
48	1311878195.926412	1311878195.874257	1311878195.926700
49	1311878195.962454	1311878195.906202	1311878195.963400
50	1311878195.994649	1311878195.938120	1311878195.993600
51	1311878196.026398	1311878195.974264	1311878196.026800
52	1311878196.064390	1311878196.006352	1311878196.063300
53	1311878196.099597	1311878196.038129	1311878196.100100
54	1311878196.127820	1311878196.074360	1311878196.127000
55	1311878196.162687	1311878196.106326	1311878196.163300
56	1311878196.194474	1311878196.138421	1311878196.193500
57	1311878196.226502	1311878196.174374	1311878196.226800
58	1311878196.264456	1311878196.206127	1311878196.263300
59	1311878196.295266	1311878196.238260	1311878196.294300
60	1311878196.327095	1311878196.274193	1311878196.326600
