N	depth	rgb	gt
0	1311878194.498786	1311878194.506276	1311878194.500100
1	1311878194.527933	1311878194.538257	1311878194.526900
2	1311878194.558884	1311878194.574203	1311878194.560200
3	1311878194.597895	1311878194.606201	1311878194.596800
4	1311878194.626949	1311878194.638184	1311878194.626900
5	1311878194.660629	1311878194.674335	1311878194.660300
6	1311878194.699673	1311878194.706671	1311878194.700000
7	1311878194.727659	1311878194.738262	1311878194.727100
8	1311878194.759065	1311878194.774175	1311878194.760300
9	1311878194.795788	1311878194.806388	1311878194.796900
10	1311878194.827761	1311878194.838267	1311878194.827000
11	1311878194.860156	1311878194.874122	1311878194.860000
12	1311878194.894979	1311878194.906162	1311878194.893400
13	1311878194.930022	1311878194.938235	1311878194.930100
14	1311878194.959099	1311878194.974214	1311878194.960300
15	1311878194.996534	1311878195.006349	1311878194.996800
16	1311878195.027534	1311878195.038170	1311878195.026900
17	1311878195.061778	1311878195.074121	1311878195.063400
18	1311878195.094824	1311878195.106255	1311878195.093500
19	1311878195.126832	1311878195.138441	1311878195.126700
20	1311878195.159231	1311878195.174269	1311878195.160200
21	1311878195.196629	1311878195.206448	1311878195.196900
22	1311878195.227154	1311878195.238271	1311878195.227000
23	1311878195.259620	1311878195.274164	1311878195.260200
24	1311878195.294553	1311878195.306470	1311878195.293400
25	1311878195.326844	1311878195.338213	1311878195.326700
26	1311878195.359161	1311878195.374269	1311878195.360100
27	1311878195.394867	1311878195.406029	1311878195.393500
28	1311878195.428052	1311878195.438050	1311878195.426800
29	1311878195.459888	1311878195.474232	1311878195.459900
30	1311878195.496459	1311878195.506356	1311878195.496800
31	1311878195.529627	1311878195.538378	1311878195.530300
32	1311878195.567770	1311878195.574459	1311878195.566800
33	1311878195.594919	1311878195.606206	1311878195.593600
34	1311878195.626723	1311878195.638287	1311878195.626800
35	1311878195.664376	1311878195.674186	1311878195.663400
36	1311878195.694746	1311878195.706186	1311878195.693400
37	1311878195.727431	1311878195.738201	1311878195.726500
38	1311878195.763173	1311878195.774488	1311878195.763400
39	1311878195.796096	1311878195.806204	1311878195.796900
40	1311878195.828782	1311878195.838010	1311878195.830200
41	1311878195.863694	1311878195.874257	1311878195.863500
42	1311878195.894665	1311878195.906202	1311878195.893300
43	1311878195.926412	1311878195.938120	1311878195.926700
44	1311878195.962454	1311878195.974264	1311878195.963400
45	1311878195.994649	1311878196.006352	1311878195.993600
46	1311878196.026398	1311878196.038129	1311878196.026800
47	1311878196.064390	1311878196.074360	1311878196.063300
48	1311878196.099597	1311878196.106326	1311878196.100100
49	1311878196.127820	1311878196.138421	1311878196.127000
50	1311878196.162687	1311878196.174374	1311878196.163300
51	1311878196.194474	1311878196.206127	1311878196.193500
52	1311878196.226502	1311878196.238260	1311878196.226800
53	1311878196.264456	1311878196.274193	1311878196.263300
54	1311878196.295266	1311878196.306228	1311878196.294300
55	1311878196.327095	1311878196.338204	1311878196.326600
56	1311878196.365191	1311878196.375281	1311878196.363700
57	1311878196.394977	1311878196.406342	1311878196.393600
58	1311878196.426386	1311878196.438533	1311878196.426900
59	1311878196.463731	1311878196.474320	1311878196.463500
60	1311878196.495481	1311878196.506414	1311878196.496900
61	1311878196.526093	1311878196.538251	1311878196.526900
62	1311878196.563869	1311878196.575066	1311878196.563400
63	1311878196.594759	1311878196.606211	1311878196.593300
64	1311878196.626973	1311878196.638325	1311878196.626800
65	1311878196.663865	1311878196.674182	1311878196.663600
66	1311878196.694636	1311878196.706269	1311878196.693300
67	1311878196.732904	1311878196.738692	1311878196.733300
68	1311878196.763266	1311878196.774138	1311878196.763300
69	1311878196.794288	1311878196.806328	1311878196.793200
70	1311878196.830506	1311878196.838398	1311878196.830300
71	1311878196.863118	1311878196.874222	1311878196.866000
72	1311878196.894985	1311878196.906132	1311878196.893400
73	1311878196.931301	1311878196.938143	1311878196.930100
74	1311878196.962315	1311878196.974342	1311878196.963600
75	1311878196.994622	1311878197.006229	1311878196.993400
76	1311878197.030180	1311878197.038157	1311878197.030100
77	1311878197.062073	1311878197.074170	1311878197.063300
78	1311878197.095151	1311878197.106340	1311878197.097000
79	1311878197.131350	1311878197.138417	1311878197.130000
80	1311878197.162445	1311878197.174156	1311878197.163300
81	1311878197.196413	1311878197.206149	1311878197.196900
82	1311878197.231313	1311878197.238433	1311878197.229900
83	1311878197.262133	1311878197.274108	1311878197.263200
84	1311878197.293925	1311878197.306065	1311878197.293300
85	1311878197.330589	1311878197.338164	1311878197.330000
86	1311878197.363305	1311878197.373957	1311878197.363600
87	1311878197.394105	1311878197.406878	1311878197.393400
88	1311878197.430801	1311878197.438201	1311878197.430000
89	1311878197.462628	1311878197.474238	1311878197.463600
90	1311878197.494250	1311878197.506176	1311878197.493400
91	1311878197.529952	1311878197.538448	1311878197.529900
92	1311878197.562710	1311878197.574811	1311878197.563400
93	1311878197.595152	1311878197.606070	1311878197.596800
94	1311878197.632011	1311878197.638206	1311878197.633300
95	1311878197.662786	1311878197.674071	1311878197.663400
96	1311878197.694001	1311878197.706190	1311878197.693200
97	1311878197.730804	1311878197.738523	1311878197.730100
98	1311878197.761950	1311878197.774050	1311878197.763400
99	1311878197.794095	1311878197.806087	1311878197.793300
100	1311878197.830043	1311878197.838274	1311878197.830100
101	1311878197.862106	1311878197.874322	1311878197.863500
102	1311878197.896164	1311878197.906486	1311878197.896700
103	1311878197.932032	1311878197.938271	1311878197.933600
104	1311878197.961954	1311878197.974019	1311878197.961100
105	1311878198.000989	1311878198.006153	1311878198.000200
106	1311878198.029994	1311878198.038635	1311878198.030200
107	1311878198.062043	1311878198.074031	1311878198.063800
108	1311878198.099249	1311878198.106322	1311878198.100000
109	1311878198.129880	1311878198.138386	1311878198.130500
110	1311878198.163229	1311878198.174366	1311878198.163400
111	1311878198.198469	1311878198.206660	1311878198.200000
112	1311878198.229862	1311878198.238497	1311878198.230100
113	1311878198.263023	1311878198.274149	1311878198.263600
114	1311878198.299498	1311878198.306371	1311878198.300000
115	1311878198.330328	1311878198.338540	1311878198.330000
116	1311878198.362220	1311878198.373959	1311878198.363500
117	1311878198.397786	1311878198.406170	1311878198.396700
118	1311878198.430432	1311878198.438262	1311878198.429900
119	1311878198.462681	1311878198.474218	1311878198.463300
120	1311878198.499218	1311878198.506218	1311878198.499900
121	1311878198.530340	1311878198.538311	1311878198.530000
122	1311878198.562492	1311878198.574543	1311878198.563400
123	1311878198.598241	1311878198.606319	1311878198.596800
124	1311878198.630457	1311878198.638628	1311878198.630200
125	1311878198.662002	1311878198.674049	1311878198.660000
126	1311878198.699543	1311878198.707316	1311878198.700300
127	1311878198.729875	1311878198.738725	1311878198.729900
128	1311878198.762650	1311878198.774061	1311878198.763300
129	1311878198.797852	1311878198.806248	1311878198.796700
130	1311878198.830037	1311878198.838460	1311878198.830100
131	1311878198.862615	1311878198.874237	1311878198.863300
132	1311878198.898057	1311878198.905987	1311878198.896700
133	1311878198.929795	1311878198.938208	1311878198.930000
134	1311878198.961889	1311878198.974165	1311878198.963300
135	1311878198.999155	1311878199.006161	1311878199.000100
136	1311878199.029670	1311878199.038251	1311878199.030100
137	1311878199.062146	1311878199.074228	1311878199.063400
138	1311878199.097533	1311878199.106422	1311878199.096500
139	1311878199.130313	1311878199.138235	1311878199.130200
140	1311878199.161917	1311878199.174805	1311878199.163400
141	1311878199.197846	1311878199.207173	1311878199.196700
142	1311878199.230695	1311878199.238266	1311878199.229800
143	1311878199.265628	1311878199.275876	1311878199.266700
144	1311878199.298465	1311878199.306226	1311878199.297200
145	1311878199.330424	1311878199.338154	1311878199.329800
146	1311878199.366333	1311878199.374050	1311878199.366800
147	1311878199.398346	1311878199.406276	1311878199.397100
148	1311878199.431224	1311878199.438010	1311878199.430200
149	1311878199.465844	1311878199.474152	1311878199.466500
150	1311878199.497866	1311878199.506248	1311878199.496600
151	1311878199.529993	1311878199.538271	1311878199.529900
152	1311878199.565636	1311878199.574176	1311878199.566700
153	1311878199.598235	1311878199.606309	1311878199.596700
154	1311878199.629983	1311878199.638106	1311878199.630000
155	1311878199.665687	1311878199.674155	1311878199.666600
156	1311878199.698693	1311878199.706001	1311878199.699900
157	1311878199.730476	1311878199.738017	1311878199.730000
158	1311878199.765877	1311878199.775401	1311878199.766400
159	1311878199.798064	1311878199.806250	1311878199.796700
160	1311878199.830114	1311878199.838004	1311878199.830200
161	1311878199.866064	1311878199.874440	1311878199.866800
162	1311878199.898092	1311878199.906103	1311878199.896800
163	1311878199.929760	1311878199.938266	1311878199.929800
164	1311878199.965905	1311878199.974272	1311878199.966700
165	1311878199.998073	1311878200.006189	1311878199.996600
166	1311878200.030176	1311878200.038184	1311878200.030000
167	1311878200.065840	1311878200.074132	1311878200.066600
168	1311878200.098313	1311878200.106321	1311878200.099900
169	1311878200.130089	1311878200.138348	1311878200.130000
170	1311878200.167002	1311878200.173964	1311878200.166700
171	1311878200.199017	1311878200.206327	1311878200.199900
172	1311878200.231422	1311878200.242002	1311878200.229900
173	1311878200.266068	1311878200.274169	1311878200.266700
174	1311878200.298340	1311878200.306230	1311878200.296700
175	1311878200.330344	1311878200.342066	1311878200.329800
176	1311878200.368863	1311878200.374151	1311878200.370000
177	1311878200.398428	1311878200.406487	1311878200.399900
178	1311878200.434191	1311878200.442312	1311878200.433200
179	1311878200.466346	1311878200.474507	1311878200.466700
180	1311878200.498635	1311878200.506740	1311878200.500000
181	1311878200.536074	1311878200.544672	1311878200.536500
182	1311878200.566278	1311878200.574557	1311878200.566600
183	1311878200.598405	1311878200.606124	1311878200.600000
184	1311878200.635101	1311878200.642380	1311878200.636700
185	1311878200.667358	1311878200.674795	1311878200.666500
186	1311878200.698529	1311878200.706045	1311878200.700000
187	1311878200.734406	1311878200.742351	1311878200.733400
188	1311878200.766227	1311878200.774100	1311878200.766700
189	1311878200.798358	1311878200.806161	1311878200.799800
190	1311878200.835064	1311878200.842140	1311878200.836400
191	1311878200.867210	1311878200.874186	1311878200.867800
192	1311878200.899246	1311878200.907425	1311878200.899900
193	1311878200.934718	1311878200.942493	1311878200.933300
194	1311878200.968052	1311878200.974314	1311878200.966400
195	1311878200.999570	1311878201.007926	1311878201.000000
196	1311878201.035233	1311878201.042338	1311878201.036500
197	1311878201.066766	1311878201.074135	1311878201.066600
198	1311878201.099427	1311878201.106946	1311878201.099100
199	1311878201.134620	1311878201.142269	1311878201.133100
200	1311878201.166758	1311878201.174037	1311878201.166500
201	1311878201.199011	1311878201.206851	1311878201.200000
202	1311878201.235659	1311878201.242552	1311878201.236500
203	1311878201.266359	1311878201.274041	1311878201.266700
204	1311878201.298402	1311878201.306315	1311878201.299900
205	1311878201.336659	1311878201.342130	1311878201.336600
206	1311878201.366513	1311878201.374078	1311878201.366600
207	1311878201.398950	1311878201.406381	1311878201.400000
208	1311878201.434368	1311878201.442332	1311878201.433500
209	1311878201.466487	1311878201.474243	1311878201.466500
210	1311878201.500473	1311878201.506263	1311878201.499900
211	1311878201.534530	1311878201.542159	1311878201.533200
212	1311878201.567670	1311878201.574598	1311878201.566600
213	1311878201.599712	1311878201.606014	1311878201.599900
214	1311878201.637284	1311878201.642096	1311878201.636500
215	1311878201.666248	1311878201.674092	1311878201.666500
216	1311878201.702225	1311878201.708205	1311878201.703300
217	1311878201.734551	1311878201.742188	1311878201.733200
218	1311878201.766411	1311878201.774384	1311878201.766600
219	1311878201.804182	1311878201.806059	1311878201.803300
220	1311878201.834891	1311878201.842070	1311878201.833200
221	1311878201.866902	1311878201.873911	1311878201.866900
222	1311878201.902366	1311878201.906078	1311878201.903300
223	1311878201.934876	1311878201.944113	1311878201.933500
224	1311878201.966367	1311878201.975026	1311878201.966500
225	1311878202.002476	1311878202.006238	1311878202.003400
226	1311878202.034083	1311878202.042289	1311878202.033300
227	1311878202.066733	1311878202.074246	1311878202.066600
228	1311878202.103529	1311878202.106190	1311878202.103300
229	1311878202.134750	1311878202.142538	1311878202.133200
230	1311878202.166847	1311878202.174269	1311878202.166700
231	1311878202.204344	1311878202.206055	1311878202.203300
232	1311878202.234317	1311878202.242099	1311878202.233200
233	1311878202.269973	1311878202.274419	1311878202.269900
234	1311878202.302356	1311878202.306286	1311878202.303200
235	1311878202.334355	1311878202.342174	1311878202.333200
236	1311878202.366089	1311878202.374111	1311878202.366600
237	1311878202.402955	1311878202.406054	1311878202.403100
238	1311878202.434908	1311878202.442042	1311878202.433300
239	1311878202.467250	1311878202.474733	1311878202.466600
240	1311878202.502225	1311878202.506062	1311878202.503200
241	1311878202.533854	1311878202.541995	1311878202.533400
242	1311878202.566422	1311878202.574243	1311878202.566400
243	1311878202.603568	1311878202.606016	1311878202.603100
244	1311878202.634680	1311878202.642195	1311878202.633200
245	1311878202.666456	1311878202.674125	1311878202.666700
