N	depth	rgb	gt
0	1305031102.160407	1305031102.175304	1305031102.155800
1	1305031102.194330	1305031102.211214	1305031102.195800
2	1305031102.226738	1305031102.243211	1305031102.225800
3	1305031102.262886	1305031102.275326	1305031102.265800
4	1305031102.295279	1305031102.311267	1305031102.295900
5	1305031102.329195	1305031102.343233	1305031102.325800
6	1305031102.363013	1305031102.375329	1305031102.365900
7	1305031102.394772	1305031102.411258	1305031102.395900
8	1305031102.427815	1305031102.443271	1305031102.425900
9	1305031102.462395	1305031102.475318	1305031102.465800
10	1305031102.494271	1305031102.511219	1305031102.496000
11	1305031102.526330	1305031102.543220	1305031102.525900
12	1305031102.562224	1305031102.575286	1305031102.565800
13	1305031102.594158	1305031102.611233	1305031102.595900
14	1305031102.626818	1305031102.643265	1305031102.625800
15	1305031102.663273	1305031102.675285	1305031102.665800
16	1305031102.695165	1305031102.711263	1305031102.695800
17	1305031102.728423	1305031102.743234	1305031102.725800
18	1305031102.763549	1305031102.775472	1305031102.765900
19	1305031102.794978	1305031102.811232	1305031102.795800
20	1305031102.828537	1305031102.843290	1305031102.825800
21	1305031102.862808	1305031102.875363	1305031102.865800
22	1305031102.894167	1305031102.911185	1305031102.895800
23	1305031102.926851	1305031102.943229	1305031102.925800
24	1305031102.962137	1305031102.975203	1305031102.965800
25	1305031102.994164	1305031103.011215	1305031102.995900
26	1305031103.027881	1305031103.043227	1305031103.025800
27	1305031103.062273	1305031103.075319	1305031103.065800
28	1305031103.094040	1305031103.111240	1305031103.095800
29	1305031103.129109	1305031103.143318	1305031103.125900
30	1305031103.162795	1305031103.175452	1305031103.166800
31	1305031103.191061	1305031103.211220	1305031103.195900
32	1305031103.227845	1305031103.243216	1305031103.225800
33	1305031103.262576	1305031103.275370	1305031103.265800
34	1305031103.294208	1305031103.311210	1305031103.295800
35	1305031103.327550	1305031103.343223	1305031103.325800
36	1305031103.362405	1305031103.375327	1305031103.365800
37	1305031103.394162	1305031103.411260	1305031103.395800
38	1305031103.428437	1305031103.443280	1305031103.425800
39	1305031103.463886	1305031103.475274	1305031103.465800
40	1305031103.494472	1305031103.511333	1305031103.495900
41	1305031103.531502	1305031103.543444	1305031103.535800
42	1305031103.562651	1305031103.575474	1305031103.565800
43	1305031103.595310	1305031103.611223	1305031103.595800
44	1305031103.631376	1305031103.643445	1305031103.635800
45	1305031103.663594	1305031103.675523	1305031103.665800
46	1305031103.694695	1305031103.711610	1305031103.695900
47	1305031103.731542	1305031103.743326	1305031103.735800
48	1305031103.762865	1305031103.775342	1305031103.765800
49	1305031103.794329	1305031103.811242	1305031103.795900
50	1305031103.830367	1305031103.843251	1305031103.825800
51	1305031103.862379	1305031103.875361	1305031103.865800
52	1305031103.894237	1305031103.911221	1305031103.895800
53	1305031103.930503	1305031103.943211	1305031103.925800
54	1305031103.962461	1305031103.975373	1305031103.965800
55	1305031103.994365	1305031104.011232	1305031103.995900
56	1305031104.030279	1305031104.043249	1305031104.025800
57	1305031104.062542	1305031104.075425	1305031104.065800
58	1305031104.095305	1305031104.111235	1305031104.095800
59	1305031104.131292	1305031104.143230	1305031104.135900
60	1305031104.163440	1305031104.175424	1305031104.165800
61	1305031104.194053	1305031104.211283	1305031104.195800
62	1305031104.227247	1305031104.243196	1305031104.225800
63	1305031104.263335	1305031104.275546	1305031104.265800
64	1305031104.294957	1305031104.311219	1305031104.295900
65	1305031104.331403	1305031104.343342	1305031104.335800
66	1305031104.363345	1305031104.375837	1305031104.365800
67	1305031104.395019	1305031104.411509	1305031104.396400
